mom,id,AP,n_loci
nat17,4560,38.888888888888886,9
nat17,4551A,55.55555555555556,9
nat17,4551B,50,9
nat17,4553,44.44444444444444,9
nat17,4579,50,9
nat17,4580,50,9
nat17,4572,56.25,8
nat17,4566,38.888888888888886,9
nat17,4570A,44.44444444444444,9
nat17,4570B,50,9
nat17,4578,55.55555555555556,9
nat17,4573,38.888888888888886,9
nat17,4574,50,9
nat17,4576,44.44444444444444,9
urb01,10,62.5,8
urb01,184,37.5,8
urb01,200,50,8
urb01,203,38.888888888888886,9
urb01,634,62.5,8
urb01,85,56.25,8
urb01,253,37.5,8
urb01,314,56.25,8
urb01,339,56.25,8
urb01,242,57.142857142857146,7
urb01,476,50,9
urb01,599,56.25,8
urb01,619,62.5,8
urb01,450,57.142857142857146,7
urb03,435,44.44444444444444,9
urb03,438,44.44444444444444,9
urb03,443,55.55555555555556,9
urb03,457,44.44444444444444,9
urb03,461,50,9
urb03,467,50,9
urb03,494,50,9
urb03,51,50,9
urb03,522,44.44444444444444,9
urb03,549,44.44444444444444,9
urb03,563,44.44444444444444,9
urb03,595,43.75,8
urb03,641,55.55555555555556,9
urb03,69,50,9
urb03,78,50,6
urb03,129,44.44444444444444,9
urb03,238,38.888888888888886,9
urb03,239,44.44444444444444,9
urb03,26,44.44444444444444,9
urb03,287,55.55555555555556,9
urb03,349,50,8
urb03,421,55.55555555555556,9
urb03,426,55.55555555555556,9
urb04,111,61.111111111111114,9
urb04,19,50,9
urb04,196,44.44444444444444,9
urb04,43,44.44444444444444,9
urb04,44,55.55555555555556,9
urb04,511,38.888888888888886,9
urb04,526,38.888888888888886,9
urb04,622,55.55555555555556,9
urb04,237,50,8
urb04,289,38.888888888888886,9
urb04,31,44.44444444444444,9
urb04,329,71.42857142857143,7
urb04,354,50,8
urb04,361,44.44444444444444,9
urb04,404,55.55555555555556,9
urb04,408,66.66666666666667,9
urb04,71,50,9
urb04,95,50,9
urb04,636,44.44444444444444,9
urb04,649,62.5,8
urb05,4959,50,8
urb05,4960,55.55555555555556,9
urb05,4961,55.55555555555556,9
urb05,4962,50,9
urb05,4963,44.44444444444444,9
urb05,4964,56.25,8
urb05,4956,44.44444444444444,9
urb05,4957,55.55555555555556,9
urb05,4958,56.25,8
urb05,4967,37.5,8
urb05,4965A,43.75,8
urb05,4965B,33.333333333333336,9
urb05,4966,44.44444444444444,9
urb06,3334,50,9
urb06,3338,66.66666666666667,9
urb06,3339,55.55555555555556,9
urb06,3342,61.111111111111114,9
urb06,3344,61.111111111111114,9
urb06,3331,72.22222222222223,9
urb06,3332,55.55555555555556,9
urb06,3333,61.111111111111114,9
urb06,3345,66.66666666666667,9
